first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
Erlend,Larsen,H,,"Styreleder AS Raadhuset - ulønnet
Styremedlem stiftelsen Sti for øye - lønnet","AS Raadhuset - rådgivning, eneeier
E-forlag - forlag, eneeier
CGNORUK - director, eier 20% av firmaet","AS Raadhuset, rådgiver (sovende firma)
E-forlag, forlag (aktivt, utgir egne og andres bøker)",,,,,"AS Raadhuset, 100 pst.
E-forlag, 100 pst.
CGNORUK - 20 pst.",,,,,
Stein Erik,Lauvås,A,,"Varamedlem Styret Momarken toto/Momarken travbane (ulønnet)
Leder Østfold Arbeiderparti (ulønnet )
Varamedlem styret Marker AP (ulønnet )",,Se punkt 2,Ulønnet permisjon fra Handel og Kontor Norge,,,,,,,,,
Ulf Isak,Leirstein,Uav,,"Styremedlem Gründerforeningen (ulønnet).
Styreleder Stiftelsen Moss Ferie- og fritidsaktiviteter
(årsgodtgjørelse).
Nestleder styret Eksportforeningen (ulønnet).","Registrert enkeltpersonsforetaket Rådgivningstjenester Ulf Leirstein
den 9. oktober 2019. Org nr 923580190. Rådgiving, foredrag,
konsulent innen ledelse, politisk virksomhet, forvaltning og
organisasjon. Ingen aktivitet pr. dato.",,,,,,"Aksjer A/S Momarken Travbane (Eierandel: mindre enn 1%)
Aksjer Global Skipsholdning 2 AS (Eierandel: mindre enn 1 %)
Aksjer Skandiabanken ASA (Eierandel: mindre enn 1%)
Aksjer SAS AB (Eierandel: mindre enn 1 %)
Aksjer Norwegian Air Shuttle ASA (Eierandel: mindre enn 1%)
Registrert foretak UAVHENGIG STORTINGSREPRESENTANT
ULF LEIRSTEIN, Org.nr.922793077 (org.form: annen juridisk
person)",,,,,
Kirsti,Leirtrø,A,,"Styreleder Stiftelsen Kystmuseet, Hitra",,,,,,,,,,,,
Solfrid,Lerbrekk,SV,,"Medlem av yrkesopplæringsnemnda i Rogaland fylkeskommune frem
til LO Rogaland har fått ny ungdomssekretær. Vararepresentant møter
for meg frem til da.",Jeg eier av et mindre skogbruk/småbruk i Vennesla kommune.,,,,,,,,,,,
Hege Haukeland,Liadal,A,,"Styreleder MS Utsira (godtgjørelse) - avsluttet i 2019.
Varamedlem styret Haugalandmuseet fra 2019 (møtegodtgjørelse).
Styremedlem Den Norske Filmfestival 2019-2020 (honorert).",,,,,,,,"Reise til Berlin 20. - 24. februar 2020. Fly, hotell og akkreditering
dekket av De nnorske filmfestival ifm styremøte og festivaldeltagelse
på Berlinalen.",,,,
Hans Andreas,Limi,FrP,,"Styremedlem og daglig leder i Limi & Limi AS, eget
konsulentselskap.","Limi & Limi AS, konsulentselskap innen eiendomsutvikling og
detaljhandel. Største oppdragsgiver i 2012 og 2013 har vært ICA
Eiendom Norge AS. Selskapet legges passivt fom regnskapsåret 2014.",Lønnet verv som parlamentarisk nestleder.,,,,,Limi & Limi AS,,,,,
Anne Kristine,Linnestad,H,,"Styreleder Follo Næringsråd, ikke lønnet
Styreleder Follo HK damer, ikke lønnet
Styremedlem Akershus Idrettskrets, godtgjøring
Styremedlem Follo Futura, godtgjøring
Gruppeleder, Ski Høyre, godtgjøring gjennom Ski kommune
Kommunestyre representant, Ski, godtgjøring
Formannskapsmedlem, Ski, godtgjøring","I farta! daglig leder, ingen inntekter så langt i 2017","Follo Kvalifiseringssenter IKS, ansatt i 100% stilling","Jeg blir lønnet de dagene jeg møter på Follo Kvalifiseringssenter IKS
den perioden jeg er møtende vara for Henrik Asheim. De dagene jeg
møter på Stortinget har jeg ulønnet permisjon",,,,,,,,,
Sylvi,Listhaug,FrP,,"1. nestleder FrP (mottar godtgjørelse)
parlamentarisk 1. nestleder FrPs Stortingsgruppe (mottar godtgjørelse)","Gav i oktober 2018 ut boken ""Der andre tier"" på Kagge Forlag",,,,,,,,,,,
Jorunn Gleditsch,Lossius,KrF,,"Leder av representantskapet i LiBiR IKS - møtegodtgjørelse
Leder i KUAS - Kokkenes utvikling AS - sovende selskap, ikke
mottatt honorar eller møtegodtgjørelse",,,,,,,,,,,,
Heidi Nordby,Lunde,H,,"Styremedlem, Stiftelsen Liberalt Forskningsinstitutt (LIFO), ulønnet.
Styremedlem, Oslo Pride, ulønnet.
Leder, Europabevegelsen, ulønnet.
Leder, Oslo Høyre, godtgjørelse 100 000,-","Har registrert enkeltpersonsforetak, uten omsetning inneværende år.
Hovedsakelig foredrag og konferansier-oppdrag. Ikke hatt oppdrag fra
samme oppdragsgiver på mer enn 50 000 kr innenfor et kalenderår.",,,,,,,"Reise organisert og betalt av Sex og Politikk til Nairobi, som leder av
stortingsnettverket for seksuelle og reproduktive rettigheter (SRHR) i
november 2019 - http://www.nairobisummiticpd.org/ - inkludert møte
i det europeiske forumet for parlamentarikernettverk for SRHR.",,,,
Per Olaf,Lundteigen,Sp,,Styreleder Vestfossen Innkjøpslag AS (mottar godtgjørelse),Gardbruker,,,,,Gardsbruk i Øvre Eiker kommune og seter i Rollag kommune. Eneeie.,Vestfossen Innkjøpslag AS,,,,,
Åsunn,Lyngedal,A,,"Bompengeselskap Nord AS, styremedlem. Lønnet",,,,,,,,,,,,
Audun,Lysbakken,SV,,Leder i Sosialistisk Venstreparti (ulønnet),,,,,,,"7 aksjer i avisen Klassekampen.
1 medlemsandel à kr 5 000 i foreldredrevet barnehage
(samvirkeforetak).",,"Litografi ""Agitatoren"" av Steinar Hansen - fra LO Sør-Trøndelag på
Tranmælkonferansen 15.6.13",,,
Mari Holm,Lønseth,H,,"Vararepresentant, Trondheim kommune (møtegodtgjørelse)",,,"Permisjon fra stilling som advokatfullmektig i Advokatfirmaet
Steenstrup Stordrange DA. Ingen avtaler om fortsatt
lønnsutbetalinger, opprettholdelse av velferdsfordeler,
pensjonsrettigheter eller lignende.",,,,"Aksjonær i Lønseth Eiendom AS, (Eierandel: mindre enn 1 %)",,,,,
Kårstein Eidem,Løvaas,H,,,"Registrert enkeltmannsforetak ""Kårstein Eidem Løvaas"". Rådgivning
innenfor media/krisehåndtering og kommunikasjonsstrategi. Ingen
virksomhet pr dd.",,,,,,300 aksjer i Aqua Biotechnology (ABT),,,,,
Marianne,Marthinsen,A,,,,"Fast spaltist i Klassekampen, lønnet",,,,,,,,,,
Emilie Enger,Mehl,Sp,,,,"Advokatfullmektig, Advokatfirmaet Elden DA (i permisjon)","Advokatfullmektig, Advokatfirmaet Elden DA - i ulønnet permisjon",,,,"Kahoot AS (under 1 pst.)
BerGenBio ASA (under 1 pst.)
Crayon Group Holding ASA (under 1 pst.)
Rec Silicon ASA (under 1 pst.)
Scana ASA (under 1 pst.)",,,,,
Frida,Melvær,H,,,,,Permisjon frå stilling som lærar ved Askvoll skule/Askvoll kommune,Tillsett som lærar i Askvoll kommune -permisjon frå stillinga,,,,,,,,
Tuva,Moflag,A,,,,,,,,,Telenor ASA (Eierandel: mindre enn 1 %).,,,,,
Siv,Mossleth,Sp,,Styremedlem i Stiftelsen RIBO. Honorar og møtegodtgjørelse.,,,,,,,,,,,,
Bjørnar,Moxnes,R,,Leder i Rødt. Ikke lenger lønnet.,,,,,,,Klassekampen A/S. Eier 1 aksje,,,,,
Ole André,Myhrvold,Sp,,,,,Permisjon uten lønn og rettigheter fra Coop Norge SA,,,,,,,,,
Sverre,Myrli,A,,"Styremedlem i Viken pensjonskasse (fast årlig godtgjørelse og
godtgjørelse pr møte samt ett gratis avisabonnement).
Styreleder i Den norsk-tyske Willy Brandt-stiftelsen (ingen
godtgjøring).",,,Permisjon uten lønn fra stilling som konsulent i Forsvarsbygg.,,,,,"Generalforsamling i Atlantic Treaty Association (ATA), Tallin,
Estland september 2005. Opphold betalt av Den norske
Atlanterhavskomité.
Konferanse i Beograd 16.-18. juni 2006. Hotellopphold betalt av
Atlantic Association of Young Political Leaders (AAYPL).","Teppe mottatt som gave fra nasjonalforsamlingen i Aserbajdsjan på
reise i regi av NATO's parlamentarikerforsamling i oktober 2006.
Deltok i paneldebatt på konferanse i regi av Norges Lastebileier-
Forbund på Storefjell Resort Hotel 8.-10. november 2013. Opphold
for meg og familien ble betalt av arrangør.",,,
Tellef Inge,Mørland,A,,,,,"Permisjon fra Sparebanken Sør, ingen lønn og heller ikke lån på
ansattbetingelser, beholdt funksjonærkontostatus på innskuddskonti.",Ingen utover permisjon fra tidligere arbeidsgiver Sparebanken Sør.,,Eier ikke næringseiendom.,"Orkla ASA 550 aksjer
Mowi ASA 50 aksjer",,,,,
Liv Signe,Navarsete,Sp,,"Nestleiar i styret for Woodinwest, eit selskap som arbeider for å bygge
ei verdikjede for tømmer på Vestlandet (ikkje godtgjersle)",,,,,,Leilegheit 23/272/9 i sameiget Kringla 1 i Sogndal kommune,,,,,,
Tom-Christer,Nilsen,H,,"Kommunestyret Askøy, har avslått godtgjørelse",,,,,,,,Stockholm 11-12/10-2018: Nordic Marine Think Tank,"2 stk. sølv lysestaker, verdi samlet kr 3 711,-
(gave fra Høyres stortingsgruppe i anledning min 50-årsdag)",,,
Helge André,Njåstad,FrP,,"Medlem av kommunestyret, medlem utval for plan og byggesak og
vara til formannskapet i Austevoll kommune, godtgjørelse pr møte",Diverse kronikker i aviser,,,,,,"Aksjer i Austevoll Seafood AS. Eierandel: mindre enn 1%
Aksjer i DOF. Eierandel: mindre enn 1%
Aksjer i Grieg Seafood. Eierandel: mindre enn 1%
Aksjer i Endur. Eierandel: mindre enn 1%
Aksjer i Kværner. Eierandel: mindre enn 1%
Aksjer i Salmar. Eierandel: mindre enn 1%
Aksjer i TietoEvry. Eierandel: mindre enn 1%
Aksjer i Norsk hydro. Eierandel: mindre enn 1%
Aksjer i Panoro Energy. Eierandel: mindre enn 1%
Aksjer i Sparebanken 1 SMN. Eierandel: mindre enn 1%
Aksjer i Questerre Energy Corporation. Eierandel: mindre enn 1%
Aksjer i Axactor. Eierandel: mindre enn 1%
Aksjer i Kværner. Eierandel: mindre enn 1%
Aksjer i Mowi. Eierandel: mindre enn 1%
Aksjer i Norsk Hydro. Eierandel: mindre enn 1%
Aksjer i Panoro Energy. Eierandel: mindre enn 1%
Aksjer i Salmar. Eierandel: mindre enn 1%
Aksjer i Sparebank1 SMN. Eierandel: mindre enn 1%
Aksjer i DAAL. Eierandel: mindre enn 1%",,"Maleri av Marstein Fyr - Frå næringslivet i Austevoll v/ Magnus
Stangeland - oktober 2013.
2 villsauskinn - John Inge Vik - oktober 2013.
Billetter Homecoming 1. oktober 2016",,,
Else-May,Norderhus,A,,Styremedlem i Actis (møtegodtgjørelse) fra januar 2013,,,4 års permisjon fra LO,,,,,"25.03.-27.03.2011 Reise Oslo/Spania betalt av Østensjø Rederi AS i
forbindelse med skipsdåp","Øredobber og smykke fra Hijos De J. Barreras, S.A, gudmorgave ved
skipsdåp 26.3.2011",,,
Willfred,Nordlund,Sp,,"Kommunestyrerepresentant Sortland kommunestyre - godtgjørelse
etter møte og reglement",,Avløser hos Wenche Irene Kristiansen,,,,,,,,,,
Torill Selsvold,Nyborg,KrF,,"Styreleiar i Stiftelsen Verdighetssenteret, Bergen (honorar)
Medlem i avviklingsstyret for Fjell Pensjonskasse, Øygarden
kommune (honorar)
Styremedlem, Solli Sykehus, Bergen (honorar)",,Permisjon som varaordfører i Øygarden kommune 48% stilling,"Ingen lønsutbetaling frå Øygarden kommune i permisjonstida, og
ingen andre bindingar til kommunen.","Går tilbake til Øygarden kommune i 48% stilling som varaordfører når
tida på Stortinget er over.",,,,,,,,
Arne,Nævra,SV,,"Norsk Naturfilmforening, styremedlem (ikke lønnet)","Enkeltpersonforetak: Arne Nævra. Forventet omsetning ca. 50 -
60.000,- pr år. for foredrag, salg av filmrettigheter, videobilder og
stills innen naturfoto/film.",,,,,,"Naturbilder AS, daglig leder, styreleder og eneeier (selskapet legges
ned innen utgangen av 2017)",,,,,
Helge,Orten,H,,"989 134 361 Oshaug AS styremedlem (ikke honorar),
982 392 098 Oshaug Metall AS styremedlem (mottar styrehonorar),
991 069 402 Bygg Kompetanse AS styreleder (mottar styrehonorar),
919 005 521 Bygg Kompetanse Holding AS, styreleder (ikke honorar)
999 289 568 Orten Invest AS styreleder og daglig leder (eget selskap,
ikke honorar), 998 599 865 Krabbevik AS styreleder (50% eiet av
Orten Invest AS, ikke honorar), 996 142 965 Attraktive Midsund
styremedlem (ikke honorar).",,,,,,,"999 289 568 Orten Invest AS (eier 59,524% av selskapet (endret
januar 2014)),
998 599 865 Krabbevik AS (Orten Invest AS eier 50% av aksjene),
996 142 965 Attraktive Midsund AS (Krabbevik AS eier 50% av
aksjene),",,,,,
